unitid,name,state,admit_rate_pct,admissions_url,source_url,prompts_found,notes
122436,University of San Diego,CA,52.4,https://www.sandiego.edu/admissions/undergraduate/,,,
214157,Moravian University,PA,54.2,https://www.moravian.edu/admissions/first-year,,,
156408,Centre College,KY,54.4,https://www.centre.edu/apply/,,,
145725,Illinois Institute of Technology,IL,54.9,https://www.iit.edu/admissions-aid/undergraduate-admission/first-year-students,,,
139940,Georgia State University,GA,55.4,https://admissions.gsu.edu/bachelors-degree/apply/high-school/,,,
154721,Bethany College,KS,56.0,,,,
192819,Marist University,NY,56.5,https://www.marist.edu/admission/undergraduate,,,
210775,Alvernia University,PA,58.1,https://www.alvernia.edu/admissions-aid/undergraduate-admissions,,,
191241,Fordham University,NY,59.3,https://www.fordham.edu/undergraduate-admission/,,,
206589,The College of Wooster,OH,59.5,https://wooster.edu/future-students,,,
166629,University of Massachusetts-Amherst,MA,59.7,https://www.umass.edu/admissions/undergraduate-admissions,,,
217819,College of Charleston,SC,60.0,https://charleston.edu/admission/index.php,,,
168421,Worcester Polytechnic Institute,MA,60.2,https://www.wpi.edu/admissions/undergraduate,,,
126775,Colorado School of Mines,CO,60.7,https://www.mines.edu/undergraduate-admissions/,,,
207971,University of Tulsa,OK,61.5,https://utulsa.edu/admissions/,,,
195304,Sarah Lawrence College,NY,61.7,https://www.sarahlawrence.edu/admission/apply/first-year.html,,,
122612,University of San Francisco,CA,61.7,https://www.usfca.edu/admission/undergraduate/first-year,,,
131159,American University,DC,62.0,https://www.american.edu/admissions/first-year/index.cfm,,,
138600,Agnes Scott College,GA,62.2,https://www.agnesscott.edu/admission/undergraduate-admission/index.html,,,
121150,Pepperdine University,CA,62.9,https://admission.pepperdine.edu/,,,
228246,Southern Methodist University,TX,63.3,https://www.smu.edu/admission,,,
194824,Rensselaer Polytechnic Institute,NY,63.5,https://undergrad.admissions.rpi.edu/,,,
193654,The New School,NY,63.5,https://www.newschool.edu/admission/prospective-undergraduate-students/,,,
139144,Berry College,GA,64.0,https://www.berry.edu/admission/,,,
199218,University of North Carolina Wilmington,NC,64.2,https://uncw.edu/admissions/undergraduate/,,,
